id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
0,6.693573743867599E18,0.64,0.7,0.03,0.063,42.0,0.8,19.4,16.1,0.23884124070304347,0.08919896289937003,2.477611369929805
1,6.693573743867599E18,0.72,0.6,0.05,0.01,19.0,1.6,22.5,5.0,0.19857892489425621,0.08634009064274623,2.072129339585308
2,6.693573743867599E18,0.76,1.0,0.02,0.024,59.0,2.0,18.0,5.9,1.0078849380207682,0.08686216279692328,10.165711543004605
3,6.693573743867599E18,0.89,0.7,0.08,0.049,47.0,0.2,23.4,4.4,0.3845673809449564,0.15829206384138644,4.003965873290951
4,6.693573743867599E18,0.66,0.8,0.1,0.093,39.0,0.9,22.4,16.3,0.2515375106223695,0.17118408454219466,2.68655919076589
5,6.693573743867599E18,0.73,0.8,0.03,0.009,53.0,0.4,20.9,11.5,0.08869066745974534,0.07275734912549536,0.9596640237229488
6,6.693573743867599E18,0.73,1.0,0.06,0.083,33.0,0.2,18.6,10.0,0.34319550206861793,0.18904580948645308,3.6210008301726324
7,6.693573743867599E18,0.55,0.7,0.07,0.051,52.0,0.1,21.4,7.3,0.3544021376943671,0.14407087519450537,3.6880922521381767
8,6.693573743867599E18,0.52,1.0,0.06,0.053,53.0,1.4,21.4,12.0,0.14662424778219124,0.18904580948645308,1.6552882873083656
9,6.693573743867599E18,0.63,0.4,0.03,0.09,17.0,1.1,24.1,6.5,0.05063877033691694,0.3396493681952278,0.8460370715643972
10,6.693573743867599E18,0.59,0.6,0.06,0.098,33.0,1.3,25.7,13.2,0.10085324379553758,0.1111413520587437,1.1196737900141194
11,6.693573743867599E18,0.65,0.8,0.04,0.062,27.0,0.2,22.6,9.8,0.22315729981833346,0.10758786455609058,2.339160862739425
12,6.693573743867599E18,0.86,0.7,0.06,0.021,11.0,0.3,20.0,3.3,0.1383014387649346,0.1290948226196236,1.5121092102689695
13,6.693573743867599E18,0.85,0.8,0.01,0.038,12.0,0.0,23.5,12.7,0.07929417453963113,0.492434188904179,1.2853759343004902
14,6.693573743867599E18,0.56,0.9,0.09,0.074,19.0,1.7,25.0,18.9,0.47169839683289355,0.18582542672383787,4.902809395052773
15,6.693573743867599E18,0.77,0.9,0.02,0.073,47.0,1.2,17.8,8.6,0.3262668621271217,0.1338131028773026,3.3964817241485195
16,6.693573743867599E18,0.61,0.7,0.08,0.042,56.0,0.9,17.8,17.0,0.3680830442835625,0.15829206384138644,3.839122506677011
17,6.693573743867599E18,0.88,0.5,0.07,0.017,37.0,1.8,25.4,13.5,0.8984719120652966,0.10033546134923889,9.085054582002206
18,6.693573743867599E18,0.61,0.7,0.02,0.051,46.0,1.7,20.1,9.6,0.3503713870407825,0.2544966381266633,3.7582105085344883
19,6.693573743867599E18,0.64,0.6,0.07,0.038,38.0,1.9,21.0,11.8,0.23692269494329204,0.12400171385801993,2.4932286632909406
